chain_name,method,source_label,env_id,granularity,final_target,episodes,seed,deterministic,c_single,c_agg,c_adapt,c_build,c_total,final_success_rate,chain_completion_rate,avg_total_steps,modules,module_success/near_key,module_steps/near_key,module_success/near_key_to_has_key,module_steps/near_key_to_has_key,module_success/has_key_to_opened_door,module_steps/has_key_to_opened_door,module_success/approach_key,module_steps/approach_key,module_success/pickup_key,module_steps/pickup_key,module_success/approach_door,module_steps/approach_door,module_success/toggle_door,module_steps/toggle_door
B_seq_G1_L420_A0000,B_sequential_cost_adapt,DoorKey->UnlockLocal->UnlockPickup,BabyAI-UnlockPickup-v0,G1,opened_door,300,0,False,300000,120000,0,420000,420000,0.7,0.7,46.333333333333336,near_key -> near_key_to_has_key -> has_key_to_opened_door,1.0,5.713333333333333,0.96,8.156666666666666,0.7291666666666666,33.81597222222222,,,,,,,,
B_seq_G2_L245_A0000,B_sequential_cost_adapt,DoorKey->UnlockLocal->UnlockPickup,BabyAI-UnlockPickup-v0,G2,opened_door,300,0,False,175000,70000,0,245000,245000,0.71,0.71,44.48,approach_key -> pickup_key -> approach_door -> toggle_door,,,,,,,1.0,6.69,0.7666666666666667,26.276666666666667,0.9347826086956522,13.569565217391304,0.9906976744186047,1.5488372093023255
B_seq_G1_L420_A0175,B_sequential_cost_adapt,DoorKey->UnlockLocal->UnlockPickup,BabyAI-UnlockPickup-v0,G1,opened_door,300,0,False,300000,120000,17500,420000,437500,0.8933333333333333,0.8933333333333333,36.803333333333335,near_key -> near_key_to_has_key -> has_key_to_opened_door,1.0,5.42,0.97,6.613333333333333,0.9209621993127147,25.536082474226806,,,,,,,,
B_seq_G2_L245_A0175,B_sequential_cost_adapt,DoorKey->UnlockLocal->UnlockPickup,BabyAI-UnlockPickup-v0,G2,opened_door,300,0,False,175000,70000,17500,245000,262500,0.7333333333333333,0.7333333333333333,39.13333333333333,approach_key -> pickup_key -> approach_door -> toggle_door,,,,,,,1.0,5.46,0.7733333333333333,24.85333333333333,0.9568965517241379,9.870689655172415,0.990990990990991,1.6036036036036037
B_seq_G1_L420_A035,B_sequential_cost_adapt,DoorKey->UnlockLocal->UnlockPickup,BabyAI-UnlockPickup-v0,G1,opened_door,300,0,False,300000,120000,35000,420000,455000,0.98,0.98,29.25,near_key -> near_key_to_has_key -> has_key_to_opened_door,1.0,5.206666666666667,0.9933333333333333,3.8266666666666667,0.9865771812080537,20.35234899328859,,,,,,,,
B_seq_G2_L245_A035,B_sequential_cost_adapt,DoorKey->UnlockLocal->UnlockPickup,BabyAI-UnlockPickup-v0,G2,opened_door,300,0,False,175000,70000,35000,245000,280000,0.79,0.79,35.23,approach_key -> pickup_key -> approach_door -> toggle_door,,,,,,,1.0,5.183333333333334,0.8166666666666667,22.26,0.9714285714285714,8.248979591836735,0.9957983193277311,1.3235294117647058
B_seq_G1_L420_A0525,B_sequential_cost_adapt,DoorKey->UnlockLocal->UnlockPickup,BabyAI-UnlockPickup-v0,G1,opened_door,300,0,False,300000,120000,52500,420000,472500,0.9866666666666667,0.9866666666666667,25.856666666666666,near_key -> near_key_to_has_key -> has_key_to_opened_door,1.0,4.8966666666666665,0.9933333333333333,4.18,0.9932885906040269,16.892617449664428,,,,,,,,
B_seq_G2_L245_A0525,B_sequential_cost_adapt,DoorKey->UnlockLocal->UnlockPickup,BabyAI-UnlockPickup-v0,G2,opened_door,300,0,False,175000,70000,52500,245000,297500,0.79,0.79,32.54333333333334,approach_key -> pickup_key -> approach_door -> toggle_door,,,,,,,1.0,5.27,0.8033333333333333,21.03,0.983402489626556,6.771784232365145,1.0,1.0168776371308017
B_seq_G1_L420_A070,B_sequential_cost_adapt,DoorKey->UnlockLocal->UnlockPickup,BabyAI-UnlockPickup-v0,G1,opened_door,300,0,False,300000,120000,70000,420000,490000,0.9833333333333333,0.9833333333333333,24.036666666666665,near_key -> near_key_to_has_key -> has_key_to_opened_door,1.0,5.013333333333334,1.0,3.11,0.9833333333333333,15.913333333333334,,,,,,,,
B_seq_G2_L245_A070,B_sequential_cost_adapt,DoorKey->UnlockLocal->UnlockPickup,BabyAI-UnlockPickup-v0,G2,opened_door,300,0,False,175000,70000,70000,245000,315000,0.8866666666666667,0.8866666666666667,26.726666666666667,approach_key -> pickup_key -> approach_door -> toggle_door,,,,,,,1.0,5.163333333333333,0.8966666666666666,14.983333333333333,0.9925650557620818,6.338289962825279,0.9962546816479401,1.0074906367041199
