chain_name,method,source_label,env_id,granularity,final_target,episodes,seed,deterministic,c_single,c_agg,c_adapt,c_build,c_total,final_success_rate,chain_completion_rate,avg_total_steps,modules,module_success/has_key,module_steps/has_key,module_success/opened_door,module_steps/opened_door,module_success/near_key,module_steps/near_key,module_success/near_key_to_has_key,module_steps/near_key_to_has_key,module_success/has_key_to_opened_door,module_steps/has_key_to_opened_door,module_success/approach_key,module_steps/approach_key,module_success/pickup_key,module_steps/pickup_key,module_success/approach_door,module_steps/approach_door,module_success/toggle_door,module_steps/toggle_door
C_joint_G0_adapt0,C_joint,DoorKey+UnlockLocal+UnlockPickup,BabyAI-UnlockPickup-v0,G0,opened_door,30,0,False,0,490000,0,490000,490000,0.23333333333333334,0.23333333333333334,63.5,has_key -> opened_door,1.0,11.0,0.23333333333333334,52.5,,,,,,,,,,,,,,
C_joint_G1_adapt0,C_joint,DoorKey+UnlockLocal+UnlockPickup,BabyAI-UnlockPickup-v0,G1,opened_door,30,0,False,0,490000,0,490000,490000,0.3,0.3,61.8,near_key -> near_key_to_has_key -> has_key_to_opened_door,,,,,1.0,7.233333333333333,0.5666666666666667,43.53333333333333,0.5294117647058824,19.470588235294116,,,,,,,,
C_joint_G2_adapt0,C_joint,DoorKey+UnlockLocal+UnlockPickup,BabyAI-UnlockPickup-v0,G2,opened_door,30,0,False,0,490000,0,490000,490000,0.9333333333333333,0.9333333333333333,35.63333333333333,approach_key -> pickup_key -> approach_door -> toggle_door,,,,,,,,,,,1.0,6.3,0.9333333333333333,8.333333333333334,1.0,21.5,1.0,1.0
C_joint_G0_adapt35,C_joint,DoorKey+UnlockLocal+UnlockPickup,BabyAI-UnlockPickup-v0,G0,opened_door,30,0,False,0,490000,35000,490000,525000,0.3333333333333333,0.3333333333333333,59.4,has_key -> opened_door,1.0,9.733333333333333,0.3333333333333333,49.666666666666664,,,,,,,,,,,,,,
C_joint_G1_adapt35,C_joint,DoorKey+UnlockLocal+UnlockPickup,BabyAI-UnlockPickup-v0,G1,opened_door,30,0,False,0,490000,35000,490000,525000,0.6666666666666666,0.6666666666666666,47.93333333333333,near_key -> near_key_to_has_key -> has_key_to_opened_door,,,,,1.0,6.0,0.7666666666666667,28.6,0.8695652173913043,17.391304347826086,,,,,,,,
C_joint_G2_adapt35,C_joint,DoorKey+UnlockLocal+UnlockPickup,BabyAI-UnlockPickup-v0,G2,opened_door,30,0,False,0,490000,35000,490000,525000,1.0,1.0,21.533333333333335,approach_key -> pickup_key -> approach_door -> toggle_door,,,,,,,,,,,1.0,6.466666666666667,1.0,3.1,1.0,10.933333333333334,1.0,1.0333333333333334
C_joint_G0_adapt70,C_joint,DoorKey+UnlockLocal+UnlockPickup,BabyAI-UnlockPickup-v0,G0,opened_door,30,0,False,0,490000,70000,490000,560000,0.13333333333333333,0.13333333333333333,65.66666666666667,has_key -> opened_door,1.0,8.533333333333333,0.13333333333333333,57.13333333333333,,,,,,,,,,,,,,
C_joint_G1_adapt70,C_joint,DoorKey+UnlockLocal+UnlockPickup,BabyAI-UnlockPickup-v0,G1,opened_door,30,0,False,0,490000,70000,490000,560000,0.6333333333333333,0.6333333333333333,46.63333333333333,near_key -> near_key_to_has_key -> has_key_to_opened_door,,,,,1.0,6.033333333333333,0.6333333333333333,30.466666666666665,1.0,16.0,,,,,,,,
C_joint_G2_adapt70,C_joint,DoorKey+UnlockLocal+UnlockPickup,BabyAI-UnlockPickup-v0,G2,opened_door,30,0,False,0,490000,70000,490000,560000,0.9666666666666667,0.9666666666666667,20.333333333333332,approach_key -> pickup_key -> approach_door -> toggle_door,,,,,,,,,,,1.0,5.466666666666667,1.0,6.533333333333333,0.9666666666666667,7.366666666666666,1.0,1.0
C_joint_G0_adapt140,C_joint,DoorKey+UnlockLocal+UnlockPickup,BabyAI-UnlockPickup-v0,G0,opened_door,30,0,False,0,490000,140000,490000,630000,0.3333333333333333,0.3333333333333333,57.166666666666664,has_key -> opened_door,1.0,7.633333333333334,0.3333333333333333,49.53333333333333,,,,,,,,,,,,,,
C_joint_G1_adapt140,C_joint,DoorKey+UnlockLocal+UnlockPickup,BabyAI-UnlockPickup-v0,G1,opened_door,30,0,False,0,490000,140000,490000,630000,0.7333333333333333,0.7333333333333333,40.46666666666667,near_key -> near_key_to_has_key -> has_key_to_opened_door,,,,,1.0,5.366666666666666,0.7333333333333333,26.4,1.0,11.863636363636363,,,,,,,,
C_joint_G2_adapt140,C_joint,DoorKey+UnlockLocal+UnlockPickup,BabyAI-UnlockPickup-v0,G2,opened_door,30,0,False,0,490000,140000,490000,630000,0.9666666666666667,0.9666666666666667,17.6,approach_key -> pickup_key -> approach_door -> toggle_door,,,,,,,,,,,1.0,4.766666666666667,1.0,5.933333333333334,0.9666666666666667,5.933333333333334,1.0,1.0
